Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors
"KRISHNA MANDIR, IMADOL, LALITPUR, NEPAL",1090.92,10,19700000,4,4,South East,2.5
"BUDDHA CHOWK, THULO BHARYANG, KATHMANDU, NEPAL",855.62,12,19900000,5,3,South West,2.5
"IMADOL, LALITPUR, NEPAL",1026.75,13,19900000,4,2,South,2
"NAREPHAT, KATHMANDU, NEPAL",1026.75,13,20000000,10,5,North East,3.5
"KAPAN, KATHMANDU, NEPAL",1540.12,13,20000000,8,3,South East,3
"NEAR BY YUBA CLUB, BOUDHA, KATHMANDU, NEPAL",855.62,13,21000000,9,3,South West,2.5
"MULPANI, GREEN HILL CITY, KATHMANDU, NEPAL",1069.53,20,21000000,4,3,West,2.5
"BHANGAL, KATHMANDU, NEPAL",1112.31,12,21000000,6,6,West,2.5
"CHAMATI, KATHMANDU, NEPAL",877.01,26,21500000,2,3,South West,3.5
"SITAPAILA, KATHMANDU, NEPAL",1283.43,13,21500000,4,4,East,2.5
"SITAPAKHA, HATTIBAN, LALITPUR, NEPAL",1711.25,20,21500000,4,4,South East,2.5
"PEPSICOLA, KATHMANDU, NEPAL",1133.7,20,22000000,6,4,West,2.5
"NEAR GRANDY HOUSING, KATHMANDU, NEPAL",1689.85,13,22000000,5,4,North West,2.5
"MADHYAPUR THIMI, BHAKTAPUR, NEPAL",1026.75,12,22000000,4,3,East,2.5
"NEAR GOLFUTAR, KATHMANDU, NEPAL",1197.87,13,22000000,6,3,North East,2.5
"SUNAKOTHI, LALITPUR, NEPAL",1711.25,13,22500000,3,3,South East,2.5
"SYUCHATAR, KATHMANDU, NEPAL",1882.37,10,22500000,5,3,East,2.5
"NEAR SUN CITY APARTMENT, KATHMANDU, NEPAL",941.18,23,23000000,2,3,East,2.5
"NAYABASTI, IMADOL, LALITPUR, NEPAL",1582.9,14,23000000,6,3,North,2.5
"SALLAGHARI, BHAKTAPUR, NEPAL",1026.75,12,23500000,13,7,East,4.5
"NEAR SWIMMING POOL, IMADOL, LALITPUR, NEPAL",1283.43,20,23500000,4,4,South,2.5
"NEAR MATRIBHUMI SCHOOL, BHAKTAPUR, NEPAL",1112.31,13,24000000,4,3,South,2.5
"MAHARAJGUNG, KATHMANDU, NEPAL",1369,13,24000000,4,2,East,2
"NEAR SITAPAKHA GATE, HATTIBAN, LALITPUR, NEPAL",1369,16,24000000,3,3,South West,2.5
"THULOBHARYANG, GAIRIGAUN, KATHMANDU, NEPAL",1283.43,14,24500000,6,4,South West,2.5
"BUDHANILKANTHA, PASIKOT, KATHMANDU, NEPAL",1369,13,24500000,6,5,South East,2.5
"SATTALLE, KATHMANDU, NEPAL",1796.81,12,25000000,4,2,North,2.5
"BHAISEPATI,SAINBU, LALITPUR, NEPAL",1026.75,13,25000000,5,5,East,3.5
"IMADOL NAYA BASTI, KATHMANDU, NEPAL",1090.92,16,25000000,4,4,South,2.5
"DHAPAKHEL, LALITPUR, NEPAL",1197.87,12,25000000,4,3,North East,2.5
"AADESHWOR MAHADEV, PALDEN PLOTTING, KATHMANDU, NEPAL",1497.34,13,25000000,11,4,South East,3.5
"NEAR LA SCHOOL, SATDOBATO, LALITPUR, NEPAL",2053.5,10,25000000,5,3,North,2.5
"IMADOL, LALITPUR, NEPAL",1026.75,13,26000000,6,3,East,3
"BEHIND KIST HOSPITAL, GWARKO, LALITPUR, NEPAL",1197.87,20,26000000,7,4,East,2.5
"HATTIBAN, LALITPUR, NEPAL",1262.04,24,27000000,6,3,East,3.5
"NEAR PEACE POINT SCHOOL, LALITPUR, NEPAL",2951.9,12,28000000,6,4,South,2.5
"MILANCHOWK, DAHACHOWK, KATHMANDU, NEPAL",3593.62,12,28000000,5,3,East,2.5
"IMADOL CHAMPION FUSTAL, LALITPUR, NEPAL",1197.87,13,28500000,6,3,South,2.5
"SWYAMBHU, KATHMANDU, NEPAL",1475.95,28,28500000,5,7,North East,3.5
"KHUMALTAR,ICI MOD, LALITPUR, NEPAL",2224.62,13,29000000,6,4,South East,2.5
"MAKALBARI, KATHMANDU, NEPAL",2738,14,29000000,2,2,East,1
"TUSHAL, KATHMANDU, NEPAL",1711.25,15,29500000,5,4,East,2.5
"JADIBUTI, KATHMANDU, NEPAL",1112.31,13,29500000,8,4,North,3.5
"IMADOLE, KATHMANDU, NEPAL",1197.87,13,29500000,5,3,East,2.5
"PEPSICOLA, KADAGHARI, KATHMANDU, NEPAL",1369,13,29500000,6,3,South,3
"THANKOT, KATHMANDU, NEPAL",1882.37,10,30000000,8,3,South East,2.5
"SITAPAILA, KATHMANDU, NEPAL",1818.2,16,31500000,6,5,East,2.5
"BANASTHALI, BALAJU, KATHMANDU, NEPAL",28235.62,10,31500000,6,2,South,2.5
"NEW COLONY, GANESH CHOWK, BUDHANILKANTHA, KATHMANDU, NEPAL",1925.15,21,32000000,6,4,North East,2.5
"BUDHANILKANTHA, KATHMANDU, NEPAL",2053.5,13,32000000,5,4,South,2.5
"NEAR NIKHILESHWOR TEMPLE, KATHMANDU, NEPAL",1369,10,32500000,10,5,East,3.5
"BUDHANILKANTHA 8 KARKHANA CHOK, KATHMANDU, NEPAL",1540.12,13,33000000,7,3,South East,3
"TATHALI, BHAKTAPUR, NEPAL",7529.5,33,34000000,7,3,South,2.5
"SUNAKOTHI, LALITPUR, NEPAL",2053.5,13,35000000,3,3,South East,2.5
"JARANKU, KATHMANDU, NEPAL",1369,33,35000000,15,5,East,4.5
"BALAJU, MACHAPOKHARI, KATHMANDU, NEPAL",1711.25,22,35000000,9,6,East,3.5
"NAYA NAIKAP, KATHMANDU, NEPAL",1711.25,13,35000000,6,5,South East,3.5
"JORPATI, SHIVACHOWK, KATHMANDU, NEPAL",1882.37,14,35000000,12,8,South West,4
"SUNAKOTHI, LALITPUR, NEPAL",2053.5,20,36000000,3,3,West,2.5
"BUDHANILKANTHA, KATHMANDU, NEPAL",1540.12,14,37500000,5,4,South West,2.5
"NEAR BY GONGABU BUSPARK, MITRANAGAR, KATHMANDU, NEPAL",1882.37,10,37500000,22,14,South,4.5
"GATTHAGHAR, BHAKTAPUR, NEPAL",2053.5,13,37500000,9,6,North,3.5
"DHUMBARAHI, KATHMANDU, NEPAL",1369,20,39000000,5,7,South,4.5
"LALIGURANS MARGA, MAITIDEVI, KATHMANDU, NEPAL",1754.03,13,39000000,9,5,South West,3.5
"GATHAGHAR, BHAKTAPUR, NEPAL",1882.37,13,39000000,7,4,West,3
"DALLU, KATHMANDU, NEPAL",1026.75,20,39200000,17,5,North West,4
"NEAR KWALITY FOOD CAFE, BALKUMARI, LALITPUR, NEPAL",1390.39,26,40000000,9,4,East,4
"BUDHANILKANTHA, GOLFUTAR, KATHMANDU, NEPAL",1540.12,26,40000000,6,3,South,4
"BUDHANILKANTHA, KATHMANDU, NEPAL",1711.25,20,40500000,5,4,East,2.5
"BUDHANILKANTHA, KATHMANDU, NEPAL",2053.5,13,41000000,5,5,South,2.5
"SANOBHARYANG, KATHMANDU, NEPAL",1903.76,20,42500000,6,7,South West,3.5
"MULPANI, KATHMANDU, NEPAL",1540.12,20,45000000,4,5,South East,2.5
"KHUSIBU, TOWN PLANNING, KATHMANDU, NEPAL",1711.25,14,45000000,7,6,East,3.5
"SAINBU, BHAINSEPATI, KATHMANDU, NEPAL",1711.25,16,45000000,4,5,South West,3
"KALANKI-14, RANJIT COLONY, KATHMANDU, NEPAL",1925.15,11,45000000,7,9,East,3.5
"BHAISEPATI, SAINBU, KATHMANDU, NEPAL",1967.93,16,47500000,7,8,North East,3.5
"KHUMALTAR, LALITPUR, NEPAL",3080.25,20,50000000,3,3,South,2.5
"SAMAKHUSHI, KATHMANDU, NEPAL",2566.87,26,52500000,10,7,North West,4.5
"KAPAN, KATHMANDU, NEPAL",3080.25,20,52500000,5,5,South East,2.5
"BASANTA NAGAR, BALAJU, KATHMANDU, NEPAL",3422.5,16,55000000,7,2,South,2.5
"SANEPA, LALITPUR, NEPAL",1711.25,13,63500000,5,6,North East,2.5
"BASUNDHARA, KATHMANDU, NEPAL",2395.75,13,72500000,9,6,East,2.5
"KUNWAR COLONY, KATHMANDU, NEPAL",4791.5,20,75000000,5,5,East,2.5
"DHUNGEDHARA, DHOBIGHAT, LALITPUR, NEPAL",6845,16,100000000,4,2,East,2.5
