Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors,district
SITAPAILA RAMKOT,1347.6,10,17500000,3,3,South West,2.5, KATHMANDU
NEAR HAR HAR MAHADEV,1475.95,13,18500000,6,3,North West,2.5, KATHMANDU
 IMADOL,1026.75,13,18500000,4,4,West,2.5, LALITPUR
JADIBUTI,1411.78,10,18500000,6,4,West,2.5, KATHMANDU
JARANKHU,1540.12,13,18500000,2,1,East,1.0, KATHMANDU
 SANO THIMI,1240.65,10,19000000,10,4,East,3.5, BHAKTAPUR
 NARAYANTAR,1026.75,12,19000000,6,3,South East,3.0, KATHMANDU
 SHEETAL TOLE,1197.87,13,19000000,5,3,South,2.5, LALITPUR
NEAR GOLFUTAR,1026.75,15,19700000,4,4,North East,3.5, KATHMANDU
 IMADOL,1090.92,10,19700000,4,4,South East,2.5, LALITPUR
 THULO BHARYANG,855.62,12,19900000,5,3,South West,2.5, KATHMANDU
IMADOL,1026.75,13,19900000,4,2,South,2.0, LALITPUR
NAREPHAT,1026.75,13,20000000,10,5,North East,3.5, KATHMANDU
KAPAN,1540.12,13,20000000,8,3,South East,3.0, KATHMANDU
 BOUDHA,855.62,13,21000000,9,3,South West,2.5, KATHMANDU
 GREEN HILL CITY,1069.53,20,21000000,4,3,West,2.5, KATHMANDU
BHANGAL,1112.31,12,21000000,6,6,West,2.5, KATHMANDU
CHAMATI,877.01,26,21500000,2,3,South West,3.5, KATHMANDU
SITAPAILA,1283.43,13,21500000,4,4,East,2.5, KATHMANDU
 HATTIBAN,1711.25,20,21500000,4,4,South East,2.5, LALITPUR
PEPSICOLA,1133.7,20,22000000,6,4,West,2.5, KATHMANDU
NEAR GRANDY HOUSING,1689.85,13,22000000,5,4,North West,2.5, KATHMANDU
MADHYAPUR THIMI,1026.75,12,22000000,4,3,East,2.5, BHAKTAPUR
NEAR GOLFUTAR,1197.87,13,22000000,6,3,North East,2.5, KATHMANDU
SUNAKOTHI,1711.25,13,22500000,3,3,South East,2.5, LALITPUR
SYUCHATAR,1882.37,10,22500000,5,3,East,2.5, KATHMANDU
NEAR SUN CITY APARTMENT,941.18,23,23000000,2,3,East,2.5, KATHMANDU
 IMADOL,1582.9,14,23000000,6,3,North,2.5, LALITPUR
SALLAGHARI,1026.75,12,23500000,13,7,East,4.5, BHAKTAPUR
 IMADOL,1283.43,20,23500000,4,4,South,2.5, LALITPUR
NEAR MATRIBHUMI SCHOOL,1112.31,13,24000000,4,3,South,2.5, BHAKTAPUR
MAHARAJGUNG,1369.0,13,24000000,4,2,East,2.0, KATHMANDU
 HATTIBAN,1369.0,16,24000000,3,3,South West,2.5, LALITPUR
 GAIRIGAUN,1283.43,14,24500000,6,4,South West,2.5, KATHMANDU
 PASIKOT,1369.0,13,24500000,6,5,South East,2.5, KATHMANDU
SATTALLE,1796.81,12,25000000,4,2,North,2.5, KATHMANDU
SAINBU,1026.75,13,25000000,5,5,East,3.5, LALITPUR
IMADOL NAYA BASTI,1090.92,16,25000000,4,4,South,2.5, KATHMANDU
DHAPAKHEL,1197.87,12,25000000,4,3,North East,2.5, LALITPUR
 PALDEN PLOTTING,1497.34,13,25000000,11,4,South East,3.5, KATHMANDU
 SATDOBATO,2053.5,10,25000000,5,3,North,2.5, LALITPUR
IMADOL,1026.75,13,26000000,6,3,East,3.0, LALITPUR
 GWARKO,1197.87,20,26000000,7,4,East,2.5, LALITPUR
HATTIBAN,1262.04,24,27000000,6,3,East,3.5, LALITPUR
NEAR PEACE POINT SCHOOL,2951.9,12,28000000,6,4,South,2.5, LALITPUR
 DAHACHOWK,3593.62,12,28000000,5,3,East,2.5, KATHMANDU
IMADOL CHAMPION FUSTAL,1197.87,13,28500000,6,3,South,2.5, LALITPUR
SWYAMBHU,1475.95,28,28500000,5,7,North East,3.5, KATHMANDU
ICI MOD,2224.62,13,29000000,6,4,South East,2.5, LALITPUR
MAKALBARI,2738.0,14,29000000,2,2,East,1.0, KATHMANDU
TUSHAL,1711.25,15,29500000,5,4,East,2.5, KATHMANDU
JADIBUTI,1112.31,13,29500000,8,4,North,3.5, KATHMANDU
IMADOLE,1197.87,13,29500000,5,3,East,2.5, KATHMANDU
 KADAGHARI,1369.0,13,29500000,6,3,South,3.0, KATHMANDU
THANKOT,1882.37,10,30000000,8,3,South East,2.5, KATHMANDU
SITAPAILA,1818.2,16,31500000,6,5,East,2.5, KATHMANDU
 BALAJU,28235.62,10,31500000,6,2,South,2.5, KATHMANDU
"NEW COLONY', ' GANESH CHOWK', ' BUDHANILKANTHA",1925.15,21,32000000,6,4,North East,2.5, KATHMANDU
BUDHANILKANTHA,2053.5,13,32000000,5,4,South,2.5, KATHMANDU
NEAR NIKHILESHWOR TEMPLE,1369.0,10,32500000,10,5,East,3.5, KATHMANDU
BUDHANILKANTHA 8 KARKHANA CHOK,1540.12,13,33000000,7,3,South East,3.0, KATHMANDU
TATHALI,7529.5,33,34000000,7,3,South,2.5, BHAKTAPUR
SUNAKOTHI,2053.5,13,35000000,3,3,South East,2.5, LALITPUR
JARANKU,1369.0,33,35000000,15,5,East,4.5, KATHMANDU
 MACHAPOKHARI,1711.25,22,35000000,9,6,East,3.5, KATHMANDU
NAYA NAIKAP,1711.25,13,35000000,6,5,South East,3.5, KATHMANDU
 SHIVACHOWK,1882.37,14,35000000,12,8,South West,4.0, KATHMANDU
SUNAKOTHI,2053.5,20,36000000,3,3,West,2.5, LALITPUR
BUDHANILKANTHA,1540.12,14,37500000,5,4,South West,2.5, KATHMANDU
 MITRANAGAR,1882.37,10,37500000,22,14,South,4.5, KATHMANDU
GATTHAGHAR,2053.5,13,37500000,9,6,North,3.5, BHAKTAPUR
DHUMBARAHI,1369.0,20,39000000,5,7,South,4.5, KATHMANDU
 MAITIDEVI,1754.03,13,39000000,9,5,South West,3.5, KATHMANDU
GATHAGHAR,1882.37,13,39000000,7,4,West,3.0, BHAKTAPUR
DALLU,1026.75,20,39200000,17,5,North West,4.0, KATHMANDU
 BALKUMARI,1390.39,26,40000000,9,4,East,4.0, LALITPUR
 GOLFUTAR,1540.12,26,40000000,6,3,South,4.0, KATHMANDU
BUDHANILKANTHA,1711.25,20,40500000,5,4,East,2.5, KATHMANDU
BUDHANILKANTHA,2053.5,13,41000000,5,5,South,2.5, KATHMANDU
SANOBHARYANG,1903.76,20,42500000,6,7,South West,3.5, KATHMANDU
MULPANI,1540.12,20,45000000,4,5,South East,2.5, KATHMANDU
 TOWN PLANNING,1711.25,14,45000000,7,6,East,3.5, KATHMANDU
 BHAINSEPATI,1711.25,16,45000000,4,5,South West,3.0, KATHMANDU
 RANJIT COLONY,1925.15,11,45000000,7,9,East,3.5, KATHMANDU
 SAINBU,1967.93,16,47500000,7,8,North East,3.5, KATHMANDU
KHUMALTAR,3080.25,20,50000000,3,3,South,2.5, LALITPUR
SAMAKHUSHI,2566.87,26,52500000,10,7,North West,4.5, KATHMANDU
KAPAN,3080.25,20,52500000,5,5,South East,2.5, KATHMANDU
 BALAJU,3422.5,16,55000000,7,2,South,2.5, KATHMANDU
SANEPA,1711.25,13,63500000,5,6,North East,2.5, LALITPUR
BASUNDHARA,2395.75,13,72500000,9,6,East,2.5, KATHMANDU
KUNWAR COLONY,4791.5,20,75000000,5,5,East,2.5, KATHMANDU
 DHOBIGHAT,6845.0,16,100000000,4,2,East,2.5, LALITPUR
